model,cpu,memory,storage,gpu,display,url,price
لپ تاپ 15.6 اینچی ایسر مدل Aspire 5 A515-56G-38ZU-i3 4GB 256SSD MX450,Core i3,4,256,NVIDIA,1920x1080,https://www.digikala.com/product/dkp-13350985/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-156-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D8%A7%DB%8C%D8%B3%D8%B1-%D9%85%D8%AF%D9%84-aspire-5-a515-56g-38zu-i3-4gb-256ssd-mx450/,19799000
لپ تاپ 15.6 اینچی اچ‌پی مدل Victus 15 FA1093DX-i5 32GB 1SSD RTX3050 - کاستوم شده,Core i5,32,1024,NVIDIA,1920x1080,https://www.digikala.com/product/dkp-11643491/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-156-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D8%A7%DA%86%D9%BE%DB%8C-%D9%85%D8%AF%D9%84-victus-15-fa1093dx-i5-32gb-1ssd-rtx-3050-%DA%A9%D8%A7%D8%B3%D8%AA%D9%88%D9%85-%D8%B4%D8%AF%D9%87/,45000000
لپ تاپ 15.6 اینچی ایسوس مدل ROG Strix G15 G513RW-HQ222-R7 6800H 16GB 1SSD RTX3070Ti,Ryzen 7,16,1024,NVIDIA,2560x1440,https://www.digikala.com/product/dkp-13259089/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-156-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D8%A7%DB%8C%D8%B3%D9%88%D8%B3-%D9%85%D8%AF%D9%84-rog-strix-g15-g513rw-hq222-r7-16gb-1ssd-rtx3070ti/,64999000
لپ تاپ 15.6 اینچی لنوو مدل LOQ 15IRH8-i5 8GB 1SSD RTX3050 W,Core i5,8,1024,NVIDIA,1920x1080,https://www.digikala.com/product/dkp-13190285/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-156-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D9%84%D9%86%D9%88%D9%88-%D9%85%D8%AF%D9%84-loq-15irh8-i5-8gb-1ssd-rtx3050-w/,39911000
لپ تاپ 15.6 اینچی اچ پی مدل FB1013DX-15- R5 16GH 512SSD RTX2050- کاستوم شده,Ryzen 5,16,512,NVIDIA,1920x1080,https://www.digikala.com/product/dkp-13414397/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-156-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D8%A7%DA%86-%D9%BE%DB%8C-%D9%85%D8%AF%D9%84-fb1013dx-15-r5-16gh-512ssd-rtx2050-%DA%A9%D8%A7%D8%B3%D8%AA%D9%88%D9%85-%D8%B4%D8%AF%D9%87/,33470000
لپ تاپ 15.6 اینچی لنوو مدل IdeaPad 3 15IAU7-i3 4GB 256SSD,Core i3,4,256,Intel,1920x1080,https://www.digikala.com/product/dkp-10192773/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-156-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D9%84%D9%86%D9%88%D9%88-%D9%85%D8%AF%D9%84-ideapad-3-15iau7-i3-4gb-256ssd/,15790000
لپ تاپ 16 اینچی ایسوس مدل Vivobook 16 R1605ZA-MB118-i5 16GB 1SSD Iris Xe - کاستوم شده,Core i5,16,1024,Intel,1920x1200,https://www.digikala.com/product/dkp-11151717/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-16-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D8%A7%DB%8C%D8%B3%D9%88%D8%B3-%D9%85%D8%AF%D9%84-vivobook-16-r1605za-mb118-clone-1-of-11090444/,29000000
لپ تاپ 15.6 اینچی ایسوس مدل Vivobook 15 OLED K513EQ-L1789-i7 16GB 512SSD MX350,Core i7,16,512,NVIDIA,1920x1080,https://www.digikala.com/product/dkp-12995544/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-156-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D8%A7%DB%8C%D8%B3%D9%88%D8%B3-%D9%85%D8%AF%D9%84-vivobook-15-oled-k513eq-l1789-i7-16gb-512ssd-mx350/,39900000
لپ تاپ 15.6 اینچی ایسوس مدل Vivobook K6500ZC-MA330-i7 12700H 16GB 1SSD RTX3050,Core i7,16,1024,NVIDIA,2880x1620,https://www.digikala.com/product/dkp-10401935/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-156-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D8%A7%DB%8C%D8%B3%D9%88%D8%B3-%D9%85%D8%AF%D9%84-vivobook-k6500zc-ma330/,55349000
لپ تاپ 16 اینچی ایسوس مدل ROG Zephyrus G16 GU603VV-i7 13620H 16GB 512SSD RTX4060 W,Core i7,16,512,NVIDIA,1920x1200,https://www.digikala.com/product/dkp-13709390/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-16-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D8%A7%DB%8C%D8%B3%D9%88%D8%B3-%D9%85%D8%AF%D9%84-rog-zephyrus-g16-gu603vv-i7-13620h-16gb-512ssd-rtx4060-w/,68800000
لپ تاپ 16 اینچی ایسوس مدل Vivobook 16 X1605ZA-MB500-i7 1255U 8GB 512SSD,Core i7,8,512,Intel,1920x1200,https://www.digikala.com/product/dkp-13394885/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-16-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D8%A7%DB%8C%D8%B3%D9%88%D8%B3-%D9%85%D8%AF%D9%84-vivobook-x1605za-mb500-i7-8gb-512ssd/,30500000
لپ تاپ 14.5 اینچی ایسوس مدل Zenbook 14X OLED Q410VA-i5 8GB 512SSD,Core i5,8,512,Intel,2880x1800,https://www.digikala.com/product/dkp-12656284/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-145-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D8%A7%DB%8C%D8%B3%D9%88%D8%B3-%D9%85%D8%AF%D9%84-zenbook-14x-oled-q410va-i5-8gb-512ssd/,39590000
لپ تاپ 15.6 اینچ ایسوس مدل Vivobook 15 X1500EP-EJ720-i7 8GB 512SSD MX330,Core i7,8,512,NVIDIA,1920x1080,https://www.digikala.com/product/dkp-13394833/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-156-%D8%A7%DB%8C%D9%86%DA%86-%D8%A7%DB%8C%D8%B3%D9%88%D8%B3-%D9%85%D8%AF%D9%84-vivobook-15-x1500ep-ej720-i5-8gb-512ssd-mx330/,33500000
لپ تاپ 15.6 اینچی لنوو مدل V15 IGL - N4020 4GB 256SSD,Celeron,4,256,Intel,1366x768,https://www.digikala.com/product/dkp-12534101/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-156-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D9%84%D9%86%D9%88%D9%88-%D9%85%D8%AF%D9%84-v15-igl-mka-clone-1-of-9162588/,9900000
لپ تاپ 14.5 اینچی ایسوس مدل Zenbook 14X OLED Q420VA-i7 13700H 16GB 512SSD,Core i7,16,512,Intel,2880x1800,https://www.digikala.com/product/dkp-12654524/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-145-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D8%A7%DB%8C%D8%B3%D9%88%D8%B3-%D9%85%D8%AF%D9%84-zenbook-14x-oled-q420va/,55640000
لپ تاپ 13.6 اینچی اپل مدل MacBook Air-B M2 2022-M2 8GB 256SSD 10Cores,M2,8,256,Apple,2560x1664,https://www.digikala.com/product/dkp-9221811/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-136-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D8%A7%D9%BE%D9%84-%D9%85%D8%AF%D9%84-macbook-air-b-m2-2022/,64090000
لپ تاپ 16 اینچی ایسوس مدل Vivobook 16 R1605ZA-MB118,Core i5,16,512,Intel,1920x1200,https://www.digikala.com/product/dkp-11399623/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-16-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D8%A7%DB%8C%D8%B3%D9%88%D8%B3-%D9%85%D8%AF%D9%84-vivobook-16-r1605za-mb118/,27200000
لپ تاپ 15.6 اینچی ایسوس مدل X515EP-EJ743-i7 16GB 1SSD MX330,Core i7,16,1024,NVIDIA,1920x1080,https://www.digikala.com/product/dkp-12956692/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-156-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D8%A7%DB%8C%D8%B3%D9%88%D8%B3-%D9%85%D8%AF%D9%84-x515ep-ej743-i7-16gb-1ssd-mx330/,37450000
لپ تاپ 15.6 اینچی لنوو مدل V15 G3 IAP-i5 1235U 8GB 256SSD,Core i5,8,256,Intel,1920x1080,https://www.digikala.com/product/dkp-14269511/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-156-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D9%84%D9%86%D9%88%D9%88-%D9%85%D8%AF%D9%84-v15-g3-iap-i3-1215u-8gb-256ssd-clone-1-of-13604228/,19799000
لپ تاپ 15.6 اینچی ایسر مدل Aspire 5 A515-56G-38ZU-i3 4GB 256SSD MX450,Core i3,4,256,NVIDIA,1920x1080,https://www.digikala.com/product/dkp-13350985/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-156-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D8%A7%DB%8C%D8%B3%D8%B1-%D9%85%D8%AF%D9%84-aspire-5-a515-56g-38zu-i3-4gb-256ssd-mx450/,19799000
لپ تاپ 15.6 اینچی لنوو مدل IdeaPad 3 15ITL6-i5 1155G7 8GB 512SSD,Core i5,8,512,Intel,1920x1080,https://www.digikala.com/product/dkp-14240361/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-156-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D9%84%D9%86%D9%88%D9%88-%D9%85%D8%AF%D9%84-ideapad-3-15itl6-i5-1155g7-8gb-512ssd/,19999000
